GID_0,NAME_0,GID_1,NAME_1,NL_NAME_1,GID_2,NAME_2,NL_NAME_2,GID_3,NAME_3,VARNAME_3,NL_NAME_3,TYPE_3,ENGTYPE_3,CC_3,HASC_3
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.1_1,An Phú,,VNM.1.1.1_1,An Phú,An Phu,,Thị trấn,Townlet,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.1_1,An Phú,,VNM.1.1.2_1,Đa Phước,Da Phuoc,,Xã,Ward,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.1_1,An Phú,,VNM.1.1.3_1,Khánh An,Khanh An,,Xã,Ward,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.1_1,An Phú,,VNM.1.1.4_1,Khánh Bình,Khanh Binh,,Xã,Ward,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.1_1,An Phú,,VNM.1.1.5_1,Long Bình,Long Binh,,Thị trấn,Townlet,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.1_1,An Phú,,VNM.1.1.6_1,Nhơn Hội,Nhon Hoi,,Xã,Ward,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.1_1,An Phú,,VNM.1.1.7_1,Phú Hội,Phu Hoi,,Xã,Ward,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.1_1,An Phú,,VNM.1.1.8_1,Phú Hữu,Phu Huu,,Xã,Ward,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.1_1,An Phú,,VNM.1.1.9_1,Phước Hưng,Phuoc Hung,,Xã,Ward,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.1_1,An Phú,,VNM.1.1.10_1,Quốc Thái,Quoc Thai,,Xã,Ward,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.1_1,An Phú,,VNM.1.1.11_1,Vĩnh Hậu,Vinh Hau,,Xã,Ward,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.1_1,An Phú,,VNM.1.1.12_1,Vĩnh Hội Đông,Vinh Hoi Dong,,Xã,Ward,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.1_1,An Phú,,VNM.1.1.13_1,Vĩnh Lộc,Vinh Loc,,Xã,Ward,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.1_1,An Phú,,VNM.1.1.14_1,Vĩnh Trường,Vinh Truong,,Xã,Ward,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.2_1,Chợ Mới,,VNM.1.2.1_1,An Thạnh Trung,An Thanh Trung,,Xã,Ward,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.2_1,Chợ Mới,,VNM.1.2.2_1,Bình Phước Xuân,Binh Phuoc Xuan,,Xã,Ward,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.2_1,Chợ Mới,,VNM.1.2.3_1,Chợ Mới,Cho Moi,,Thị trấn,Townlet,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.2_1,Chợ Mới,,VNM.1.2.4_1,Hội An,Hoi An,,Xã,Ward,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.2_1,Chợ Mới,,VNM.1.2.5_1,Hòa An,Hoa An,,Xã,Ward,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.2_1,Chợ Mới,,VNM.1.2.6_1,Hòa Bình,Hoa Binh,,Xã,Ward,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.2_1,Chợ Mới,,VNM.1.2.7_1,Kiến An,Kien An,,Xã,Ward,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.2_1,Chợ Mới,,VNM.1.2.8_1,Kiến Thành,Kien Thanh,,Xã,Ward,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.2_1,Chợ Mới,,VNM.1.2.9_1,Long Điền A,Long Dien A,,Xã,Ward,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.2_1,Chợ Mới,,VNM.1.2.10_1,Long Điền B,Long Dien B,,Xã,Ward,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.2_1,Chợ Mới,,VNM.1.2.11_1,Long Giang,Long Giang,,Xã,Ward,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.2_1,Chợ Mới,,VNM.1.2.12_1,Long Kiến,Long Kien,,Xã,Ward,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.2_1,Chợ Mới,,VNM.1.2.13_1,Mỹ An,My An,,Xã,Ward,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.2_1,Chợ Mới,,VNM.1.2.14_1,Mỹ Hội Đông,My Hoi Dong,,Xã,Ward,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.2_1,Chợ Mới,,VNM.1.2.15_1,Mỹ Hiệp,My Hiep,,Xã,Ward,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.2_1,Chợ Mới,,VNM.1.2.16_1,Mỹ Luông,My Luong,,Thị trấn,Townlet,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.2_1,Chợ Mới,,VNM.1.2.17_1,Nhơn Mỹ,Nhon My,,Xã,Ward,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.2_1,Chợ Mới,,VNM.1.2.18_1,Tấn Mỹ,Tan My,,Xã,Ward,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.3_1,Châu Đốc,,VNM.1.3.1_1,Châu Phú A,Chau Phu A,,Phường,Ward,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.3_1,Châu Đốc,,VNM.1.3.2_1,Châu Phú B,Chau Phu B,,Phường,Ward,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.3_1,Châu Đốc,,VNM.1.3.3_1,Núi Sam,Nui Sam,,Phường,Ward,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.3_1,Châu Đốc,,VNM.1.3.4_1,Vĩnh Châu,Vinh Chau,,Xã,Ward,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.3_1,Châu Đốc,,VNM.1.3.5_1,Vĩnh Mỹ,Vinh My,,Phường,Ward,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.3_1,Châu Đốc,,VNM.1.3.6_1,Vĩnh Ngươn,Vinh Nguon,,Phường,Ward,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.3_1,Châu Đốc,,VNM.1.3.7_1,Vĩnh Tế,Vinh Te,,Xã,Ward,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.4_1,Châu Phú,,VNM.1.4.1_1,Bình Chánh,Binh Chanh,,Xã,Ward,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.4_1,Châu Phú,,VNM.1.4.2_1,Bình Long,Binh Long,,Xã,Ward,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.4_1,Châu Phú,,VNM.1.4.3_1,Bình Mỹ,Binh My,,Xã,Ward,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.4_1,Châu Phú,,VNM.1.4.4_1,Bình Phú,Binh Phu,,Xã,Ward,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.4_1,Châu Phú,,VNM.1.4.5_1,Bình Thủy,Binh Thuy,,Xã,Ward,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.4_1,Châu Phú,,VNM.1.4.6_1,Cái Dầu,Cai Dau,,Thị trấn,Townlet,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.4_1,Châu Phú,,VNM.1.4.7_1,Đào Hữu Cảnh,Dao Huu Canh,,Xã,Ward,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.4_1,Châu Phú,,VNM.1.4.8_1,Khánh Hòa,Khanh Hoa,,Xã,Ward,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.4_1,Châu Phú,,VNM.1.4.9_1,Mỹ Đức,My Duc,,Xã,Ward,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.4_1,Châu Phú,,VNM.1.4.10_1,Mỹ Phú,My Phu,,Xã,Ward,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.4_1,Châu Phú,,VNM.1.4.11_1,Ô Long Vỹ,O Long Vy,,Xã,Ward,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.4_1,Châu Phú,,VNM.1.4.12_1,Thạnh Mỹ Tây,Thanh My Tay,,Xã,Ward,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.4_1,Châu Phú,,VNM.1.4.13_1,Vĩnh Thạnh Trung,Vinh Thanh Trung,,Xã,Ward,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.5_1,Châu Thành,,VNM.1.5.1_1,An Châu,An Chau,,Thị trấn,Townlet,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.5_1,Châu Thành,,VNM.1.5.2_1,An Hòa,An Hoa,,Xã,Ward,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.5_1,Châu Thành,,VNM.1.5.3_1,Bình Hòa,Binh Hoa,,Xã,Ward,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.5_1,Châu Thành,,VNM.1.5.4_1,Bình Thạnh,Binh Thanh,,Xã,Ward,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.5_1,Châu Thành,,VNM.1.5.5_1,Cần Đăng,Can Dang,,Xã,Ward,,
VNM,Vietnam,VNM.1_1,An Giang,,VNM.1.5_1,Châu Thành,,VNM.1.5.6_1,Hòa Bình Thạnh,Hoa Binh Thanh,,Xã,Ward,,
